Id;Code;Name
985;4340;Villers-l'Evêque
986;4342;Hognoul
987;4347;Fexhe-le-Haut-Clocher
988;4347;Freloux
989;4347;Noville (Lg.)
990;4347;Roloux
991;4347;Voroux-Goreux
992;4350;Lamine
993;4350;Momalle
994;4350;Pousset
995;4350;Remicourt
996;4351;Hodeige
997;4357;Donceel
998;4357;Haneffe
999;4357;Jeneffe (Lg.)
1000;4357;Limont
1001;4360;Bergilers
1002;4360;Grandville
1003;4360;Lens-sur-Geer
1004;4360;Oreye
1005;4360;Otrange
1006;4367;Crisnée
1007;4367;Fize-le-Marsal
1008;4367;Kemexhe
1009;4367;Odeur
1010;4367;Thys
1011;4400;Awirs
1012;4400;Chokier
1013;4400;Flémalle
1014;4400;Flémalle-Grande
1015;4400;Flémalle-Haute
1016;4400;Gleixhe
1017;4400;Ivoz-Ramet
1018;4400;Mons-lez-Liège
1019;4420;Montegnée
1020;4420;Saint-Nicolas (Lg.)
1021;4420;Tilleur
1022;4430;Ans
1023;4431;Loncin
1024;4432;Alleur
1025;4432;Xhendremael
1026;4450;Juprelle
1027;4450;Lantin
1028;4450;Slins
1029;4451;Voroux-lez-Liers
1030;4452;Paifve
1031;4452;Wihogne
1032;4453;Villers-Saint-Siméon
1033;4458;Fexhe-Slins
1034;4460;Bierset
1035;4460;Grâce-Berleur
1036;4460;Grâce-Hollogne
1037;4460;Hollogne-aux-Pierres
1038;4460;Horion-Hozémont
1039;4460;Velroux
1040;4470;Saint-Georges-sur-Meuse
1041;4480;Clermont-sous-Huy
1042;4480;Engis
1043;4480;Hermalle-sous-Huy
1044;4500;Ben-Ahin
1045;4500;Huy
1046;4500;Tihange
1047;4520;Antheit
1048;4520;Bas-Oha
1049;4520;Huccorgne
1050;4520;Moha
1051;4520;Vinalmont
1052;4520;Wanze
1053;4530;Fize-Fontaine
1054;4530;Vaux-et-Borset
1055;4530;Vieux-Waleffe
1056;4530;Villers-le-Bouillet
1057;4530;Warnant-Dreye
1058;4537;Chapon-Seraing
1059;4537;Seraing-le-Château
1060;4537;Verlaine
1061;4540;Amay
1062;4540;Ampsin
1063;4540;Flône
1064;4540;Jehay
1065;4540;Ombret
1066;4550;Nandrin
1067;4550;Saint-Séverin
1068;4550;Villers-le-Temple
